epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6826,4.21194,5.09379,4.20823,0,0,0,0,3.2042,5.05858,4.13822,0.000142364,0.000142364,0.000142364
2,37.198,3.85664,4.83205,4.00849,0,0,0,0,3.09747,5.01731,4.03559,0.000273139,0.000273139,0.000273139
3,57.646,3.28812,4.27308,3.54626,0.42077,0.05028,0.01439,0.0045,2.61135,11.6317,3.11154,0.00038956,0.00038956,0.00038956
4,75.4048,2.93727,3.58975,3.0074,0.16946,0.12147,0.0471,0.01928,2.40969,3.83678,3.18161,0.000370403,0.000370403,0.000370403
5,93.105,2.69883,3.1667,2.66445,0.11222,0.15052,0.0736,0.02905,2.17125,2.928,2.51108,0.00034887,0.00034887,0.00034887
6,111.315,2.45854,2.92859,2.41833,0.09685,0.31017,0.14768,0.07708,1.77662,2.5868,2.10355,0.000327337,0.000327337,0.000327337
7,129.824,2.28323,2.72201,2.22871,0.3499,0.22759,0.19163,0.09677,1.83461,2.46441,2.06243,0.000305805,0.000305805,0.000305805
8,147.435,2.13794,2.59755,2.10885,0.27676,0.28597,0.26781,0.15791,1.50402,2.25796,1.82928,0.000284272,0.000284272,0.000284272
9,164.693,2.05288,2.52045,2.03409,0.2696,0.34946,0.29419,0.15835,1.63709,2.15645,1.83641,0.00026274,0.00026274,0.00026274
10,182.899,1.98093,2.42867,1.9774,0.33542,0.34887,0.34066,0.19247,1.57186,2.10427,1.75817,0.000241207,0.000241207,0.000241207
11,202.386,1.87129,2.58377,1.95153,0.24421,0.45597,0.34411,0.21795,1.31386,2.07961,1.64053,0.000219675,0.000219675,0.000219675
12,219.144,1.80865,2.41277,1.88319,0.41383,0.39386,0.41349,0.27583,1.29294,1.87679,1.59912,0.000198142,0.000198142,0.000198142
13,235.59,1.77981,2.33903,1.8372,0.4103,0.43532,0.42878,0.29606,1.2059,1.82647,1.53046,0.00017661,0.00017661,0.00017661
14,252.624,1.75661,2.28255,1.83567,0.50731,0.49121,0.52671,0.32958,1.33356,1.70995,1.57797,0.000155078,0.000155078,0.000155078
15,270.35,1.72096,2.22283,1.78723,0.56323,0.52963,0.54179,0.34757,1.32215,1.61113,1.55696,0.000133545,0.000133545,0.000133545
16,286.601,1.71563,2.19331,1.78008,0.49675,0.5354,0.55824,0.37297,1.1879,1.58018,1.49162,0.000112013,0.000112013,0.000112013
17,303.316,1.69626,2.16276,1.7612,0.53389,0.52774,0.57852,0.38473,1.19686,1.5218,1.49071,9.048e-05,9.048e-05,9.048e-05
18,320.073,1.67243,2.14382,1.75531,0.60516,0.5677,0.57372,0.39471,1.13287,1.45862,1.46467,6.89475e-05,6.89475e-05,6.89475e-05
19,336.95,1.66743,2.09905,1.73981,0.64569,0.55722,0.6067,0.41004,1.1455,1.44447,1.46304,4.7415e-05,4.7415e-05,4.7415e-05
20,354.389,1.65124,2.09283,1.74364,0.64536,0.60193,0.60368,0.41715,1.14862,1.42976,1.46466,2.58825e-05,2.58825e-05,2.58825e-05
