epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2561.53,2.57197,2.96838,2.85776,0.79237,0.62397,0.70903,0.44378,1.48199,1.53602,1.95649,0.000665347,0.000665347,0.000665347
2,5267.37,1.40062,1.20385,1.63656,0.77682,0.70424,0.7737,0.51389,1.25526,1.13842,1.60663,0.00129905,0.00129905,0.00129905
3,7746.98,1.20253,0.95781,1.4256,0.8935,0.79662,0.88787,0.66312,0.97782,0.86318,1.34687,0.00189975,0.00189975,0.00189975
4,10100.6,1.05981,0.82002,1.30536,0.9086,0.85241,0.92204,0.72104,0.86749,0.69523,1.24508,0.0018515,0.0018515,0.0018515
5,12431.8,0.96733,0.72509,1.23064,0.91346,0.87511,0.93878,0.74815,0.81717,0.62141,1.19466,0.001802,0.001802,0.001802
6,14762.9,0.92151,0.6897,1.20074,0.93764,0.90875,0.96154,0.7999,0.69459,0.52457,1.10132,0.0017525,0.0017525,0.0017525
7,17092.2,0.87729,0.64188,1.16329,0.92355,0.90791,0.95866,0.79333,0.70493,0.54974,1.11512,0.001703,0.001703,0.001703
8,19418.5,0.84513,0.60662,1.14002,0.92953,0.88417,0.95527,0.79719,0.6943,0.53445,1.0971,0.0016535,0.0016535,0.0016535
9,21745.6,0.81681,0.58802,1.11882,0.93663,0.9119,0.96415,0.82163,0.63342,0.47787,1.05595,0.001604,0.001604,0.001604
10,24073.7,0.78416,0.56799,1.10115,0.93756,0.91755,0.96761,0.82554,0.6272,0.45837,1.0465,0.0015545,0.0015545,0.0015545
11,26403.2,0.77621,0.54585,1.09532,0.93817,0.92764,0.97217,0.83534,0.61414,0.43385,1.04378,0.001505,0.001505,0.001505
12,28729.1,0.75422,0.52399,1.0787,0.95127,0.92752,0.9734,0.84487,0.59909,0.4189,1.0323,0.0014555,0.0014555,0.0014555
13,31058.2,0.73643,0.52209,1.07165,0.93929,0.94702,0.97824,0.85614,0.56316,0.39711,1.01055,0.001406,0.001406,0.001406
14,33384.7,0.71874,0.49628,1.06308,0.95389,0.93945,0.97811,0.85545,0.56489,0.39128,1.00958,0.0013565,0.0013565,0.0013565
15,35710.1,0.70557,0.49311,1.05502,0.95497,0.94129,0.98002,0.8676,0.5409,0.37238,0.98988,0.001307,0.001307,0.001307
16,38037.1,0.69023,0.47677,1.04376,0.94613,0.94255,0.97826,0.86225,0.55357,0.38539,0.98994,0.0012575,0.0012575,0.0012575
17,40364.6,0.68096,0.47287,1.03699,0.95144,0.93693,0.97709,0.86771,0.53027,0.37202,0.9782,0.001208,0.001208,0.001208
18,42692.5,0.67307,0.46197,1.03379,0.95585,0.94599,0.98135,0.87103,0.52814,0.36133,0.97896,0.0011585,0.0011585,0.0011585
19,45023.2,0.66581,0.45523,1.02948,0.95782,0.95046,0.98299,0.88123,0.50903,0.34418,0.97121,0.001109,0.001109,0.001109
20,47394.1,0.66335,0.45061,1.02438,0.95652,0.94472,0.9821,0.88224,0.499,0.34977,0.96299,0.0010595,0.0010595,0.0010595
21,49719.8,0.64562,0.44245,1.01979,0.96036,0.94732,0.98489,0.88443,0.48933,0.33964,0.96009,0.00101,0.00101,0.00101
22,52046.2,0.64078,0.43492,1.01851,0.95598,0.95135,0.98465,0.88961,0.48085,0.33451,0.94996,0.0009605,0.0009605,0.0009605
23,54375.2,0.62677,0.42648,1.01081,0.96239,0.95381,0.9857,0.88973,0.48399,0.32688,0.94884,0.000911,0.000911,0.000911
24,56709,0.62288,0.41911,1.00281,0.96206,0.94989,0.98531,0.89005,0.47686,0.32273,0.95176,0.0008615,0.0008615,0.0008615
25,59037.7,0.61364,0.41469,1.00356,0.9594,0.95516,0.98605,0.89476,0.4669,0.32191,0.94052,0.000812,0.000812,0.000812
26,61367,0.60063,0.4025,0.99673,0.9587,0.95585,0.98784,0.89906,0.45584,0.30618,0.93514,0.0007625,0.0007625,0.0007625
27,63696.6,0.59935,0.39774,0.98764,0.96193,0.95344,0.98644,0.89596,0.46064,0.31362,0.93637,0.000713,0.000713,0.000713
28,66024.5,0.58761,0.38971,0.98806,0.96454,0.95459,0.98747,0.90485,0.44435,0.29853,0.92775,0.0006635,0.0006635,0.0006635
